"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.050646542E0,-1.306632906E-1,-4.185283780E-1,3.347094655E-1,5.516061321E-1
2.060662542E0,-1.135209128E-1,-4.146217704E-1,4.109748602E-1,5.947256055E-1
2.070678542E0,-9.122785181E-2,-4.074072838E-1,4.768857062E-1,6.338163713E-1
2.080694542E0,-6.816392392E-2,-4.038177133E-1,5.409552455E-1,6.784892362E-1
2.090710542E0,-4.123457149E-2,-3.952410221E-1,5.964437723E-1,7.167014225E-1
2.100726542E0,-1.631131954E-2,-3.882158995E-1,6.427547932E-1,7.510734770E-1
2.110742542E0,1.166412234E-2,-3.813782334E-1,6.863886118E-1,7.853118712E-1
2.120758542E0,3.593552113E-2,-3.701331913E-1,7.207494378E-1,8.110300199E-1
2.130774542E0,5.934364349E-2,-3.627447784E-1,7.447384000E-1,8.305063074E-1
2.140790542E0,8.578711003E-2,-3.488900065E-1,7.589694262E-1,8.397131979E-1
2.150806542E0,1.053637415E-1,-3.385678530E-1,7.652760744E-1,8.434317869E-1
2.160822542E0,1.246026233E-1,-3.298592567E-1,7.612219453E-1,8.389229959E-1
2.170838542E0,1.443182677E-1,-3.109947443E-1,7.487354279E-1,8.234987761E-1
2.180854542E0,1.558806747E-1,-2.952823043E-1,7.302559018E-1,8.029720457E-1
2.190870542E0,1.631558985E-1,-2.793483436E-1,7.059252262E-1,7.765215833E-1
2.200886542E0,1.670001447E-1,-2.643676102E-1,6.684802771E-1,7.380007876E-1
2.210902542E0,1.675833762E-1,-2.500986457E-1,6.256284118E-1,6.942941957E-1
2.220918542E0,1.606052965E-1,-2.248383462E-1,5.772467256E-1,6.399688472E-1
2.230934542E0,1.571093649E-1,-2.051008642E-1,5.266253948E-1,5.865867570E-1
2.240949542E0,1.436604857E-1,-1.871667355E-1,4.612847865E-1,5.181248655E-1
2.250965542E0,1.286272109E-1,-1.671847701E-1,3.977790475E-1,4.502486839E-1
2.260981542E0,1.073350608E-1,-1.450801492E-1,3.311733305E-1,3.771536024E-1
2.270997542E0,8.755043894E-2,-1.213511303E-1,2.572660744E-1,2.976188993E-1
2.281013542E0,6.518783420E-2,-1.018223166E-1,1.873448640E-1,2.229693610E-1
2.291029542E0,3.661318123E-2,-7.481786609E-2,1.117510423E-1,1.393791002E-1
2.301045542E0,1.515179779E-2,-5.143253505E-2,3.123260289E-2,6.205125399E-2
2.311061542E0,-1.653688960E-2,-2.780550532E-2,-4.167968780E-2,5.276183487E-2
2.321077542E0,-4.068845883E-2,-2.685134299E-3,-1.192221269E-1,1.260026832E-1
2.331093542E0,-6.938774139E-2,1.991391927E-2,-1.935687810E-1,2.065916160E-1
2.341109542E0,-9.747521579E-2,4.407662898E-2,-2.601864934E-1,2.813204192E-1
